Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
128.58,128.75,125.76,126.41,56517146.0,0.0,1.0,123.12776965153,123.29056107197,120.42734726533,121.04978504938,56517146.0
128.4,129.37,126.26,126.6,72842060.0,0.0,1.0,122.95540226518,123.8842709583,120.90614556076,121.23172840165,72842060.0
127.96,129.57,125.06,127.14,88528487.0,0.0,1.0,122.5340597652,124.07579027647,119.75702965174,121.74883056071,88528487.0
126.41,127.22,123.8,124.51,68856582.0,0.0,1.0,121.04978504938,121.82543828797,118.55045794727,119.23035152677,68856582.0
124.75,124.77,122.11,122.24,68938974.0,0.0,1.0,119.46017470857,119.47932664039,116.93211970873,117.05660726554,68938974.0
122.31,124.9,121.63,124.45,48362719.0,0.0,1.0,117.1236390269,119.6038141972,116.47247334512,119.17289573132,48362719.0
124.4,125.3951,122.58,123.59,51827283.0,0.0,1.0,119.12501590178,120.07792026933,117.38219010643,118.34936266319,51827283.0
123.88,124.95,122.87,124.95,35874300.0,0.0,1.0,118.62706567453,119.65169402674,117.65989311777,119.65169402674,35874300.0
125.9,127.32,125.65,127.04,51023104.0,0.0,1.0,120.56141078805,121.92119794706,120.32201164034,121.65307090162,51023104.0
127.0,129.16,126.37,128.47,65270945.0,0.0,1.0,121.61476703799,123.68317567422,121.01148118575,123.02243402654,65270945.0
128.75,129.2451,127.4,127.495,45809490.0,0.0,1.0,123.29056107197,123.7646671441,121.99780567433,122.08877735046,45809490.0
128.25,128.4,125.16,125.9,68695136.0,0.0,1.0,122.81176277655,122.95540226518,119.85278931082,120.56141078805,68695136.0
127.12,127.85,126.52,127.21,37709674.0,0.0,1.0,121.72967862889,122.42872414021,121.15512067438,121.81586232206,37709674.0
127.23,128.04,126.56,126.69,32842304.0,0.0,1.0,121.83501425388,122.61066749247,121.19342453801,121.31791209482,32842304.0
126.54,126.82,123.38,123.38,51655177.0,0.0,1.0,121.1742726062,121.44239965163,118.14826737911,118.14826737911,51655177.0
122.76,124.88,122.6,124.24,47572869.0,0.0,1.0,117.55455749278,119.58466226538,117.40134203825,118.97180044724,47572869.0
124.57,124.7,122.91,123.25,39546151.0,0.0,1.0,119.28780732222,119.41229487903,117.69819698141,118.0237798223,39546151.0
124.05,126.4,124.0,126.37,47099670.0,0.0,1.0,118.78985709498,121.04020908348,118.74197726544,121.01148118575,47099670.0
126.09,126.49,124.355,124.43,42090553.0,0.0,1.0,120.74335414031,121.12639277665,119.08192405519,119.1537437995,42090553.0
124.82,125.12,123.1,124.25,40621437.0,0.0,1.0,119.52720646993,119.81448544719,117.88014033367,118.98137641315,40621437.0
125.03,125.56,124.19,125.32,32220131.0,0.0,1.0,119.72830175401,120.23582794716,118.9239206177,120.00600476536,32220131.0
124.47,127.51,124.33,127.35,37193975.0,0.0,1.0,119.19204766314,122.10314129932,119.05798414042,121.94992584478,37193975.0
127.64,128.1218,125.98,126.01,35012268.0,0.0,1.0,122.22762885613,122.6889988936,120.63801851532,120.66674641304,35012268.0
125.85,126.4,124.97,125.6,37329243.0,0.0,1.0,120.51353095851,121.04020908348,119.67084595856,120.2741318108,37329243.0
125.85,126.58,124.66,126.56,32483974.0,0.0,1.0,120.51353095851,121.21257646983,119.3739910154,121.19342453801,32483974.0
125.95,127.21,125.26,127.1,40187953.0,0.0,1.0,120.60929061759,121.81586232206,119.94854896991,121.71052669707,40187953.0
128.37,128.57,126.61,126.85,36365123.0,0.0,1.0,122.92667436745,123.11819368562,121.24130436755,121.47112754936,36365123.0
127.0,127.29,125.91,126.3,25524593.0,0.0,1.0,121.61476703799,121.89247004933,120.57098675396,120.94444942439,25524593.0
126.41,127.13,126.01,126.78,28970419.0,0.0,1.0,121.04978504938,121.7392545948,120.66674641304,121.404095788,28970419.0
126.28,127.1,126.11,126.17,28368987.0,0.0,1.0,120.92529749257,121.71052669707,120.76250607213,120.81996186758,28368987.0
125.55,126.14,124.46,124.75,51957046.0,0.0,1.0,120.22625198125,120.79123396986,119.18247169723,119.46017470857,51957046.0
125.57,128.12,125.17,127.6,47054310.0,0.0,1.0,120.24540391307,122.68727521974,119.86236527673,122.1893249925,47054310.0
128.1,128.2,126.67,126.91,32435057.0,0.0,1.0,122.66812328792,122.76388294701,121.29876016301,121.52858334481,32435057.0
126.99,128.87,126.32,128.62,37654505.0,0.0,1.0,121.60519107208,123.40547266288,120.96360135621,123.16607351516,37654505.0
128.3,130.42,128.14,129.67,45770902.0,0.0,1.0,122.85964260609,124.88974737869,122.70642715156,124.17154993556,45770902.0
130.49,130.63,129.23,130.28,44525905.0,0.0,1.0,124.95677914005,125.09084266277,123.75020743558,124.75568385598,44525905.0
132.31,133.13,131.15,132.65,96954207.0,0.0,1.0,126.6996049354,127.4848341399,125.58879289001,127.02518777629,96954207.0
134.455,134.54,129.57,130.56,118923970.0,0.0,1.0,128.75364962278,128.835045333,124.07579027647,125.02381090141,118923970.0
130.16,131.59,128.3,128.64,63386083.0,0.0,1.0,124.64077226507,126.01013538999,122.85964260609,123.18522544698,63386083.0
127.5,127.88,124.58,125.15,83195423.0,0.0,1.0,122.09356533341,122.45745203793,119.29738328813,119.84321334491,83195423.0
126.1,130.13,125.3,128.95,58512638.0,0.0,1.0,120.75293010622,124.61204436735,119.98685283354,123.48208039014,58512638.0
129.5,130.57,128.26,128.7,50988278.0,0.0,1.0,124.00875851511,125.03338686732,122.82133874246,123.24268124243,50988278.0
128.15,128.4498,125.78,125.8,49271416.0,0.0,1.0,122.71600311746,123.0030905754,120.44649919715,120.46565112897,49271416.0
126.56,126.75,123.36,125.01,72141010.0,0.0,1.0,121.19342453801,121.37536789027,118.12911544729,119.70914982219,72141010.0
124.77,126.08,124.02,125.26,43940895.0,0.52,1.0,119.9753289544,121.23498817481,119.25415001142,120.44649919715,43940895.0
126.68,127.62,126.11,127.62,55550382.0,0.0,1.0,121.81193132919,122.71580893773,121.26383533253,122.71580893773,55550382.0
127.39,127.56,125.625,126.32,42035757.0,0.0,1.0,122.49464739522,122.65811462229,120.7974729494,121.46576543656,42035757.0
125.6,126.88,124.82,125.865,48160032.0,0.0,1.0,120.7734336513,122.00424571399,120.0234075506,121.02825021115,48160032.0
126.15,127.19,125.87,126.01,34694235.0,0.0,1.0,121.30229820949,122.30233301042,121.03305807077,121.16767814013,34694235.0
127.41,128.95,127.16,128.95,45203456.0,0.0,1.0,122.5138788337,123.99469959662,122.2734858527,123.99469959662,45203456.0
129.07,129.49,128.21,128.77,38208034.0,0.0,1.0,124.11008822749,124.51394843556,123.28313637288,123.8216166503,38208034.0
128.38,130.72,128.36,130.19,50882918.0,0.0,1.0,123.44660359995,125.69668190205,123.42737216147,125.18704878235,50882918.0
130.69,130.88,129.64,130.07,44633240.0,0.0,1.0,125.66783474433,125.85053340989,124.65818422416,125.07166015147,44633240.0
130.0,130.98,129.34,130.06,36454932.0,0.0,1.0,125.00435011679,125.94669060229,124.36971264697,125.06204443223,36454932.0
130.07,131.63,129.83,131.39,39730364.0,0.0,1.0,125.07166015147,126.57171235287,124.84088288972,126.34093509112,39730364.0
131.6,132.97,131.4,132.54,45595972.0,0.0,1.0,126.54286519515,127.860218731,126.35055081036,127.44674280369,45595972.0
132.6,132.91,129.12,129.62,70697560.0,0.0,1.0,127.50443711913,127.80252441556,124.15816682369,124.63895278568,70697560.0
130.34,132.26,130.05,132.045,45833246.0,0.0,1.0,125.33128457094,127.17750266498,125.05242871299,126.97076470132,45833246.0
131.86,131.95,131.1,131.78,30733309.0,0.0,1.0,126.79287389539,126.87941536854,126.06207923316,126.71594814147,30733309.0
131.23,131.45,129.9,130.28,50884452.0,0.0,1.0,126.18708358328,126.39862940656,124.90819292439,125.27359025551,50884452.0
131.2,131.39,130.05,130.535,32112797.0,0.0,1.0,126.15823642556,126.34093509112,125.05242871299,125.51879109612,32112797.0
129.86,130.655,129.32,129.96,33667627.0,0.0,1.0,124.86973004744,125.634179727,124.35048120849,124.96588723983,33667627.0
130.66,130.94,129.9,130.12,30983542.0,0.0,1.0,125.63898758662,125.90822772533,124.90819292439,125.11973874767,30983542.0
129.58,130.58,128.91,129.36,38450118.0,0.0,1.0,124.60048990872,125.5620618327,123.95623671966,124.38894408545,38450118.0
129.5,129.69,128.36,128.65,35626800.0,0.0,1.0,124.5235641548,124.70626282036,123.42737216147,123.70622801943,35626800.0
128.9,129.21,126.83,127.8,52674786.0,0.0,1.0,123.94662100042,124.24470829685,121.95616711779,122.88889188405,52674786.0
126.7,128.08,125.62,127.42,56075420.0,0.0,1.0,121.83116276767,123.15813202276,120.79266508978,122.52349455294,56075420.0
127.92,129.34,127.85,128.88,39087250.0,0.0,1.0,123.00428051492,124.36971264697,122.93697048025,123.92738956194,39087250.0
129.18,130.18,128.475,128.59,35390887.0,0.0,1.0,124.21586113913,125.17743306311,123.53795293273,123.64853370399,35390887.0
128.185,128.33,127.11,127.17,36886246.0,0.0,1.0,123.25909707478,123.39852500375,122.2254072565,122.28310157194,36886246.0
126.1,127.24,125.71,126.92,43988946.0,0.0,1.0,121.25421961329,122.35041160662,120.87920656294,122.04270859095,43988946.0
127.03,127.85,126.37,127.6,31494131.0,0.0,1.0,122.14848150259,122.93697048025,121.51384403276,122.69657749925,31494131.0
127.72,127.88,126.74,127.3,32918071.0,0.0,1.0,122.81196613013,122.96581763796,121.86962564463,122.40810592206,32918071.0
127.23,128.31,127.22,127.88,35407220.0,0.0,1.0,122.34079588738,123.37929356527,122.33118016814,122.96581763796,35407220.0
127.71,127.82,126.4,126.6,54716887.0,0.0,1.0,122.80235041089,122.90812332253,121.54269119048,121.73500557528,54716887.0
127.49,128.06,127.08,127.61,34039345.0,0.0,1.0,122.59080458761,123.13890058428,122.19656009878,122.70619321849,34039345.0
127.48,127.61,126.8792,127.03,30268863.0,0.0,1.0,122.58118886837,122.70619321849,122.00347645645,122.14848150259,30268863.0
127.21,129.8,127.12,128.11,55280855.0,0.0,1.0,122.3215644489,124.812035732,122.23502297574,123.18697918048,55280855.0
128.86,129.2,127.5,127.5,31938100.0,0.0,1.0,123.90815812346,124.23509257761,122.60042030685,122.60042030685,31938100.0
127.67,127.99,126.51,126.75,44066841.0,0.0,1.0,122.76388753393,123.0715905496,121.64846410212,121.87924136387,44066841.0
125.46,126.47,124.48,124.53,49161427.0,0.0,1.0,120.63881358194,121.61000122516,119.69647309645,119.74455169265,49161427.0
125.57,126.12,124.86,125.425,44370682.0,0.0,1.0,120.74458649358,121.27345105177,120.06187042756,120.6051585646,44370682.0
126.9,126.94,125.99,126.6,30238811.0,0.0,1.0,122.02347715247,122.06194002943,121.14844670165,121.73500557528,30238811.0
126.43,126.69,125.77,126.44,27210952.0,0.0,1.0,121.5715383482,121.82154704843,120.93690087838,121.58115406744,27210952.0
124.94,126.23,124.85,126.0,28060431.0,0.0,1.0,120.13879618148,121.37922396341,120.05225470832,121.15806242089,28060431.0
125.89,126.15,123.77,125.69,46946811.0,0.0,1.0,121.05228950925,121.30229820949,119.01375703043,120.85997512446,46946811.0
124.48,124.64,122.54,122.57,60761614.0,0.0,1.0,119.69647309645,119.85032460428,117.83102356394,117.85987072166,60761614.0
123.85,124.06,119.22,120.07,78595038.0,0.0,1.0,119.09068278434,119.29261288838,114.63860477634,115.45594091172,78595038.0
121.94,123.85,121.21,123.28,61354474.0,0.0,1.0,117.25408040955,119.09068278434,116.55213290505,118.54258678768,61354474.0
125.03,125.755,124.32,125.66,41440538.0,0.0,1.0,120.22533765463,120.92247729952,119.54262158861,120.83112796674,41440538.0
126.04,126.37,125.04,125.61,31768139.0,0.0,1.0,121.19652529785,121.51384403276,120.23495337387,120.78304937054,31768139.0
125.72,127.15,125.58,126.82,33649200.0,0.0,1.0,120.88882228218,122.26387013346,120.75420221282,121.94655139855,33649200.0
127.74,128.57,127.35,128.51,36222447.0,0.0,1.0,122.83119756861,123.62930226551,122.45618451826,123.57160795007,36222447.0
129.08,129.62,128.31,129.62,46164710.0,0.0,1.0,124.11970394673,124.63895278568,123.37929356527,124.63895278568,46164710.0
130.97,132.97,130.7,132.07,58900203.0,0.0,1.0,125.93707488305,127.860218731,125.67745046357,126.99480399942,58900203.0
132.85,132.92,130.32,130.75,76756427.0,0.0,1.0,127.74483010012,127.8121401348,125.31205313246,125.72552905977,76756427.0
121.99,125.5,121.99,125.22,115450607.0,0.0,1.0,117.30215900575,120.6772764589,117.30215900575,120.40803632019,115450607.0
126.2,127.09,125.06,125.16,50999452.0,0.0,1.0,121.35037680569,122.20617581802,120.25418481235,120.35034200475,50999452.0
125.32,125.74,123.9,124.5,42162332.0,0.0,1.0,120.50419351259,120.90805372066,119.13876138054,119.71570453493,42162332.0
123.09,123.61,122.12,122.77,44455540.0,0.0,1.0,118.35988812212,118.85990552259,117.42716335587,118.05218510645,44455540.0
123.38,123.91,122.55,123.38,33618097.0,0.0,1.0,118.63874398008,119.14837709978,117.84063928318,118.63874398008,33618097.0
123.15,123.5,122.27,122.99,37011653.0,0.0,1.0,118.41758243756,118.75413261095,117.57139914446,118.26373092972,37011653.0
122.32,122.5699,121.71,122.37,33628268.0,0.0,1.0,117.61947774066,117.85977456446,117.03291886704,117.66755633686,33628268.0
122.6,122.6425,120.91,121.3,42884953.0,0.0,1.0,117.88871787937,117.92958468614,116.26366132786,116.63867437821,42884953.0
121.5,122.57,117.52,118.44,69975968.0,0.0,1.0,116.830988763,117.85987072166,113.00393250558,113.88857867564,69975968.0
117.42,117.7,113.25,114.64,124138623.0,0.0,1.0,112.90777531318,113.1770154519,108.89802039021,110.23460536453,124138623.0
112.95,117.44,112.1,115.4,98384461.0,0.0,1.0,108.60954881301,112.92700675166,107.79221267763,110.96540002675,98384461.0
115.97,116.5,114.115,115.13,52903040.0,0.52,1.0,112.01716160087,112.52909654653,110.22538929105,111.20579300775,52903040.0
114.58,116.25,114.5,115.52,38670405.0,0.0,1.0,110.67453976225,112.28761779858,110.5972665629,111.58249985455,38670405.0
116.53,119.99,116.53,119.72,54951597.0,0.0,1.0,112.55807399629,115.90013986797,112.55807399629,115.63934282018,54951597.0
117.81,118.18,113.33,113.49,97082814.0,0.0,1.0,113.79444518581,114.15183373278,109.46714602248,109.62169242117,97082814.0
112.53,115.42,109.63,115.24,101685610.0,0.0,1.0,108.69441402903,111.48590835537,105.89326055276,111.31204365685,101685610.0
116.04,116.4,114.54,115.15,48535789.0,0.0,1.0,112.0847756503,112.43250504735,110.63590316257,111.22511130758,48535789.0
