"No","Date","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","sp500"
"54","2014-06-12",40.58,51.71,92.29,551.35,101.66,190950,127.28,64.2901,102.53,325.91,26.96,1930.109985
"55","2014-06-13",41.23,51.9,91.28,551.76,102.65,189520,126.54,64.5,102.53,326.27,27.04,1936.160034
"56","2014-06-16",41.5,51.09,92.2,544.28,102.92,189250,126.15,64.19,102.45,327.62,26.82,1937.780029
"57","2014-06-17",41.68,51.66,92.08,543.01,102.42,188990,126.03,64.4,101.93,325.62,26.87,1941.98999
"58","2014-06-18",41.65,52.04,92.18,553.37,102.73,190675,127.17,65.6,102.81,334.38,26.89,1956.97998
"59","2014-06-19",41.51,52.02,91.86,554.9,102.63,190491,127.25,64.3415,103.81,327,26.93,1959.47998
"60","2014-06-20",41.68,52.89,90.91,556.36,103.83,190500,126.74,64.5,105.27,324.2,26.97,1962.869995
"61","2014-06-23",41.99,52.98,90.83,564.95,104.38,189900,126.67,65.37,104.75,327.24,26.68,1962.609985
"62","2014-06-24",41.745,52.49,90.28,564.62,102.73,190171,126.78,65.72,104.59,324.16,26.58,1949.97998
"63","2014-06-25",42.03,52.6,90.36,578.65,102.14,190660,127.13,67.44,105.76,327.44,26.42,1959.530029
"64","2014-06-26",41.72,52.37,90.9,576,102.03,190576,127.1,67.13,105.65,325.69,26.29,1957.219971
"65","2014-06-27",42.25,52.9,91.98,577.24,101.21,190559,127.32,67.6,104.99,324.57,26.43,1960.959961
"66","2014-06-30",41.7,52.56,92.93,575.28,100.68,189900,126.56,67.29,104.62,324.78,26.28,1960.22998
"67","2014-07-01",41.87,52.72,93.52,582.67,101.36,190500,127.24,68.06,105.87,332.39,26.4,1973.319946
"68","2014-07-02",41.9,52.66,93.48,582.335,101.57,191499,127.73,66.45,105.86,332.85,26.61,1974.619995
"69","2014-07-03",41.8,53,94.03,584.73,102.59,193600,129.3,66.29,105.42,337.492,26.86,1985.439941
"70","2014-07-07",41.99,52.5,95.968,582.25,102.65,193000,128.7,65.29,106.47,333.55,26.75,1977.650024
"71","2014-07-08",41.78,52.25,95.35,571.09,102.83,192400,128.22,62.76,105.72,323.81,26.37,1963.709961
"72","2014-07-09",41.67,52.19,95.39,576.08,103.55,193040,128.75,64.97,106.04,329.97,26.32,1972.829956
"73","2014-07-10",41.685,51.81,95.035,571.1,102.57,192500,128.45,64.8725,105.8,327.92,26.2,1964.680054
"74","2014-07-11",42.09,51.49,95.22,579.18,101.74,192900,128.63,66.34,105.1,346.2,26.55,1967.569946
"75","2014-07-14",42.14,51.31,96.45,584.87,102.68,193380,128.98,67.9,105.38,355.32,26.66,1977.099976
"76","2014-07-15",42.45,51.35,95.32,584.78,102.39,192776,128.49,67.165,103.28,354.44,26.61,1973.280029
"77","2014-07-16",44.08,51.17,94.78,582.66,103.77,192072,128.11,67.66,102.22,355.9,27.02,1981.569946
"78","2014-07-17",44.53,50.68,93.0899,573.7299,102.31,189811,126.52,66.4099,100.37,352.454,26.61,1958.119995
"79","2014-07-18",44.69,51.28,94.43,595.08,102.73,192487,128.28,68.4199,101.8,358.66,26.46,1978.219971
"80","2014-07-21",44.835,51.05,93.939,589.47,103.08,193030,128.58,69.4,101.27,359.76,25.98,1973.630005
"81","2014-07-22",44.83,51.35,94.72,594.74,103.54,192640,128.42,69.27,102.47,360.84,26.02,1983.530029
"82","2014-07-23",44.87,51.33,97.19,595.98,104.25,192205,128.13,71.29,102.19,358.14,25.91,1987.01001
"83","2014-07-24",44.4,51.59,97.03,593.35,104.28,192441,128.35,74.98,102.2,358.61,25.94,1987.97998
"84","2014-07-25",44.5,51.6,97.671,589.02,103.18,191224,127.55,75.19,102.11,324.01,25.79,1978.339966
"85","2014-07-28",43.97,51.6,99.02,590.6,103.25,192580,128.37,74.92,102.11,320.41,25.59,1978.910034
"86","2014-07-29",43.885,51.54,98.38,585.61,103.55,191158,127.36,73.71,101.96,320,25.45,1969.949951
"87","2014-07-30",43.5785,52.1,98.15,587.42,103.25,191716,127.74,74.677,102.3,322.51,25.64,1970.069946
"88","2014-07-31",43.16,50.9,95.6,571.6,98.94,188124,125.43,72.65,100.09,312.99,25.15,1930.670044
"89","2014-08-01",42.86,50.35,96.13,566.07,98.8,189279,125.83,72.36,99.9,307.06,25.35,1925.150024
"90","2014-08-04",43.37,50.99,95.59,573.15,100.13,194305,129.72,73.51,100.16,313.65,25.27,1938.98999
"91","2014-08-05",43.08,50.4,95.12,565.07,98.2,192499,127.99,72.69,99.82,312.32,25.02,1920.209961
"92","2014-08-06",42.74,50.06,94.96,566.374,98.98,193700,129.11,72.47,100.71,313.89,25.44,1920.23999
"93","2014-08-07",43.23,49.7,94.48,563.36,98.27,194001,128.95,73.17,99.93,311.45,25.5,1909.569946
"94","2014-08-08",43.2,50,94.74,568.77,99.74,196253,130.9,73.06,101.08,316.8,25.66,1931.589966
"95","2014-08-11",43.2,49.89,95.99,567.88,98.73,198000,131.95,73.44,101.16,318.33,25.79,1936.920044
"96","2014-08-12",43.52,49.78,95.97,562.73,98.49,199562,133.06,72.83,100.63,319.32,25.61,1933.75
"97","2014-08-13",44.08,49.99,97.24,574.78,99.09,199609,133.08,73.77,101.74,326.28,25.83,1946.719971
"98","2014-08-14",44.27,50.38,97.5,574.65,99.09,202850,135.3,74.296,102.02,333.21,25.88,1955.180054
"99","2014-08-15",44.79,50.21,97.98,573.48,99.03,201227,134.34,73.63,101.17,333.63,25.64,1955.060059
"100","2014-08-18",45.11,50.69,99.16,582.16,99.52,202419,135.03,74.59,102.7,334.53,26.07,1971.73999
"101","2014-08-19",45.33,50.86,100.53,586.86,99.49,202600,134.9,75.29,102.96,335.13,26.05,1981.599976
"102","2014-08-20",44.95,50.85,100.57,584.49,99.7,202388,134.91,74.81,103.21,335.78,26.36,1986.51001
"103","2014-08-21",45.22,51.29,100.58,583.37,99.28,205159,136.81,74.57,104.19,332.91,26.43,1992.369995
"104","2014-08-22",45.15,51.18,101.32,582.56,98.5,203532,135.75,74.57,103.1,331.59,26.15,1988.400024
"105","2014-08-25",45.17,51.45,101.54,580.2,98.75,204579,136.23,75.02,103.23,334.02,26.2,1997.920044
"106","2014-08-26",45.005,51.56,100.889,577.86,99.64,204577,136.25,75.9601,103.44,341.83,26.01,2000.02002
"107","2014-08-27",44.87,51.34,102.13,571,99.53,204741,136.52,74.63,103.22,343.18,26.13,2000.119995
"108","2014-08-28",44.88,51.15,102.25,569.2,99.57,204040,136.11,73.855,102.95,340.02,26.01,1996.73999
"109","2014-08-29",45.43,51.44,102.5,571.6,99.46,205880,137.25,74.82,103.73,339.04,25.98,2003.369995
"110","2014-09-02",45.09,51.57,103.3,577.33,98.49,206740,137.96,76.68,103.36,342.38,25.85,2002.280029
"111","2014-09-03",44.96,51.55,98.94,577.94,99.11,206438,137.73,75.83,103.76,339,25.95,2000.719971
"112","2014-09-04",45.26,51.57,98.12,581.98,98.36,206820,137.95,75.95,103.84,345.95,25.96,1997.650024
"113","2014-09-05",45.91,51.65,98.97,586.08,99.26,206700,138.06,77.26,104.42,346.38,26.1,2007.709961
"114","2014-09-08",46.47,51.47,98.36,589.72,97.77,207200,138.28,77.89,104.05,342.34,26.08,2001.540039
"115","2014-09-09",46.76,51.07,97.99,581.01,97.39,205305,136.89,76.67,103.8,329.75,25.9,1988.439941
"116","2014-09-10",46.84,51.52,101,583.1,96.81,206750,137.72,77.43,104.99,331.33,25.95,1995.689941
"117","2014-09-11",47,51.59,101.43,581.35,97.03,206850,137.92,77.92,104.55,330.52,26.02,1997.449951
"118","2014-09-12",46.695,51.7,101.66,575.62,95.78,205635,137.09,77.48,104.58,331.19,25.87,1985.540039
"119","2014-09-15",46.24,51.94,101.63,573.1,96.29,207110,138.04,74.58,104.72,323.89,25.92,1984.130005
"120","2014-09-16",46.76,52.31,100.86,579.95,97.43,207745,138.69,76.08,105.88,327.76,26.21,1998.97998
"121","2014-09-17",46.52,52.51,101.58,584.77,97.08,209000,139.61,76.43,106.19,324,26.27,2001.569946
"122","2014-09-18",46.68,53.24,101.79,589.27,96.61,212075,141.28,77,107.35,325,26.21,2011.359985
"123","2014-09-19",47.52,53.36,100.96,596.08,97.12,212000,140.56,77.91,107.99,331.32,26.29,2010.400024
"124","2014-09-22",47.06,52.9,101.06,587.37,96.54,208900,139.26,76.8,107.88,324.5,26.08,1994.290039
"125","2014-09-23",46.56,52.1,102.64,581.13,96.03,208445,138.78,78.29,107.46,323.63,26.02,1982.77002
"126","2014-09-24",47.08,52.13,101.75,587.99,95.82,209850,139.95,78.535,108.64,328.21,25.93,1998.300049
"127","2014-09-25",46.04,51.41,97.87,575.06,94.25,206000,137.09,77.22,107.1,321.93,25.55,1965.98999
"128","2014-09-26",46.41,51.87,100.75,577.1,95.43,208133,138.68,78.79,107.1,323.21,25.63,1982.849976
"129","2014-09-29",46.44,51.69,100.11,576.36,94.43,207321,138.33,79,106.54,321.82,25.42,1977.800049
"130","2014-09-30",46.36,51.87,100.75,577.36,94.05,206900,138.14,79.04,106.59,322.44,25.62,1972.290039
"131","2014-10-01",45.9,51.26,99.18,568.27,92.86,204855,136.62,76.55,104.3,317.46,25.16,1946.160034
"132","2014-10-02",45.76,51.4,99.9,570.08,93.3,206250,137.64,77.08,103.85,318.41,25.12,1946.170044
"133","2014-10-03",46.09,52.1,99.62,575.28,93.92,208750,139.5,77.44,105.13,322.74,25.4,1967.900024
"134","2014-10-06",46.09,52.03,99.62,577.35,94.52,208585,139.16,77.555,104.86,322.2,25.22,1964.819946
"135","2014-10-07",45.53,51.08,98.75,563.74,93.37,205035,136.72,76.29,102.39,316.98,24.81,1935.099976
"136","2014-10-08",46.78,52.15,100.8,572.5,94.61,209950,139.94,77.52,104.91,322.7,25.25,1968.890015
"137","2014-10-09",45.85,51.12,101.02,560.88,91.82,205850,137.09,75.91,102.08,315.37,24.78,1928.209961
"138","2014-10-10",44.03,50.64,100.73,544.49,91.6,205150,136.76,72.91,101.23,311.39,24.27,1906.130005
"139","2014-10-13",43.65,50.2,99.81,533.21,90.84,204913,136.38,72.99,99.12,306.45,23.95,1874.73999
"140","2014-10-14",43.73,48.83,98.75,537.94,90.55,206025,137.39,73.59,97.01,308.31,24.1,1877.699951
"141","2014-10-15",43.22,47.85,97.54,530.03,90.22,203800,135.64,73.21,98.21,305.97,24.28,1862.48999
"142","2014-10-16",42.74,48.13,96.26,524.51,90.6,202000,134.7,72.63,96.78,302.86,24.25,1862.76001
"143","2014-10-17",43.63,48.69,97.67,511.17,91.21,205505,137.09,75.95,98.7,303.64,24.82,1886.76001
"144","2014-10-20",44.08,49.18,99.76,520.84,91.77,205850,137.23,76.95,99.2,306.21,25.03,1904.01001
"145","2014-10-21",44.88,50.45,102.47,526.54,93.65,208330,138.97,78.69,100.36,315.33,25.45,1941.280029
"146","2014-10-22",44.38,50.17,102.99,532.71,93.13,206525,137.65,78.37,101.22,312.97,25.19,1927.109985
"147","2014-10-23",45.02,50.6,104.83,543.98,94.11,208109,138.68,80.04,102.63,313.18,25.44,1950.819946
"148","2014-10-24",46.13,51.2,105.22,539.78,94.49,209251,139.4,80.67,103.13,287.06,25.64,1964.579956
"149","2014-10-27",45.91,51.31,105.11,540.77,93.71,209222,139.53,80.28,104.07,289.97,25.52,1961.630005
"150","2014-10-28",46.49,51.78,106.74,548.9,95.1,210570,140.46,80.77,104.79,295.59,25.88,1985.050049
